session_id,user_id,return_user,day_of_week,time_of_day,session_duration,num_pages_viewed,num_items_carted,has_viewed_shipping_info,scroll_depth,cart_value,discount_applied,shipping_fee,free_shipping_eligible,device_type,browser,referral_source,location,if_payment_page_reached,most_viewed_category,abandoned
S1,U328,0,Saturday,Evening,942,1,5,0,38,13054,0,257,0,Mobile,Opera,Search Engine,"Nagpur, Maharashtra",1,Electronics,1
S2,U58,1,Thursday,Afternoon,372,1,6,0,31,21510,0,136,0,Desktop,Safari,Ads,"Warangal, Telangana",0,Automotive,0
S3,U13,1,Monday,Morning,899,4,9,1,93,19369,0,0,1,Desktop,Chrome,Direct,"Hyderabad, Telangana",0,Home & Kitchen,0
S4,U380,0,Sunday,Night,2626,4,8,0,79,22613,0,0,1,Tablet,Opera,Ads,"Mumbai, Maharashtra",1,Beauty,0
S5,U141,0,Saturday,Evening,3337,18,1,0,70,4413,1,101,0,Tablet,Edge,Social Media,"Gaya, Bihar",1,Beauty,0
S6,U126,0,Sunday,Evening,434,11,7,1,52,27048,0,266,0,Mobile,Edge,Social Media,"Kanpur, Uttar Pradesh",1,Books,1
S7,U115,0,Wednesday,Night,510,1,6,1,58,15081,1,69,0,Desktop,Firefox,Ads,"Darjeeling, West Bengal",0,Clothing,0
S8,U72,1,Saturday,Night,3122,10,3,0,38,6732,1,187,0,Mobile,Edge,Search Engine,"Jodhpur, Rajasthan",0,Clothing,0
S9,U378,1,Wednesday,Night,654,9,1,0,90,1387,0,0,1,Tablet,Firefox,Direct,"Vadodara, Gujarat",0,Beauty,0
S10,U53,1,Saturday,Morning,3310,4,7,0,40,18412,1,0,1,Mobile,Edge,Ads,"Mysore, Karnataka",1,Toys,0
S11,U347,0,Monday,Afternoon,1293,6,4,0,62,13013,0,0,1,Desktop,Safari,Search Engine,"Warangal, Telangana",0,Clothing,0
S12,U380,1,Friday,Evening,559,16,5,0,43,7590,0,255,0,Tablet,Opera,Ads,"Delhi, Delhi",0,Clothing,1
S13,U457,1,Friday,Afternoon,523,2,6,0,47,12596,0,0,1,Tablet,Safari,Search Engine,"Mysore, Karnataka",0,Automotive,0
S14,U280,0,Wednesday,Night,3255,18,9,1,66,27609,0,73,0,Desktop,Safari,Search Engine,"Coimbatore, Tamil Nadu",0,Clothing,0
S15,U45,0,Wednesday,Evening,172,10,0,0,13,0,0,198,0,Mobile,Firefox,Search Engine,"Warangal, Telangana",0,Sports,1
S16,U303,0,Sunday,Evening,1095,17,7,0,11,17935,0,0,1,Desktop,Opera,Direct,"Ranchi, Jharkhand",1,Clothing,0
S17,U217,0,Tuesday,Afternoon,3257,13,3,0,21,6401,0,0,1,Mobile,Opera,Ads,"Jodhpur, Rajasthan",0,Automotive,0
S18,U17,0,Saturday,Afternoon,2438,18,8,0,44,23954,0,0,1,Desktop,Edge,Ads,"Shillong, Meghalaya",1,Sports,0
S19,U16,0,Saturday,Evening,1984,13,0,0,79,0,0,171,0,Desktop,Firefox,Ads,"Varanasi, Uttar Pradesh",1,Home & Kitchen,1
S20,U48,0,Saturday,Morning,3414,17,1,0,81,947,0,138,0,Desktop,Opera,Direct,"Nagpur, Maharashtra",1,Sports,0
S21,U112,1,Saturday,Night,199,5,5,1,30,9117,0,216,0,Desktop,Opera,Search Engine,"Delhi, Delhi",1,Automotive,1
S22,U120,0,Tuesday,Afternoon,1484,11,9,0,70,29384,1,179,0,Mobile,Safari,Ads,"Hyderabad, Telangana",1,Groceries,0
S23,U259,0,Sunday,Evening,3009,7,0,0,44,0,0,160,0,Mobile,Chrome,Ads,"Bhubaneswar, Odisha",0,Home & Kitchen,1
S24,U309,0,Wednesday,Afternoon,3228,10,3,0,57,5503,1,130,0,Tablet,Opera,Direct,"Nagpur, Maharashtra",1,Groceries,0
S25,U14,0,Friday,Evening,576,17,7,0,24,19636,0,0,1,Mobile,Chrome,Email Campaign,"Mysore, Karnataka",0,Electronics,0
S26,U288,1,Tuesday,Morning,2676,15,9,0,80,23251,0,209,0,Mobile,Safari,Ads,"Jodhpur, Rajasthan",0,Beauty,1
S27,U102,0,Monday,Afternoon,2007,18,4,1,24,10487,0,221,0,Tablet,Opera,Ads,"Chennai, Tamil Nadu",0,Home & Kitchen,1
S28,U367,0,Tuesday,Evening,2953,19,8,1,15,18283,0,96,0,Tablet,Chrome,Direct,"Lucknow, Uttar Pradesh",0,Electronics,0
S29,U333,0,Sunday,Afternoon,3200,2,5,0,90,15654,1,210,0,Mobile,Chrome,Email Campaign,"Siliguri, West Bengal",0,Clothing,0
S30,U360,0,Tuesday,Evening,2225,4,0,0,77,0,0,270,0,Mobile,Opera,Email Campaign,"Warangal, Telangana",1,Sports,1
S31,U280,1,Tuesday,Night,947,3,5,1,31,13411,0,0,1,Mobile,Chrome,Email Campaign,"Varanasi, Uttar Pradesh",1,Beauty,0
S32,U215,0,Sunday,Evening,3190,7,5,0,41,11022,0,219,0,Tablet,Opera,Ads,"Kochi, Kerala",1,Sports,1
S33,U113,0,Thursday,Evening,3164,18,5,0,31,8338,0,240,0,Mobile,Edge,Search Engine,"Surat, Gujarat",0,Beauty,1
S34,U230,1,Monday,Evening,1401,10,7,0,36,19617,1,118,0,Mobile,Firefox,Search Engine,"Ranchi, Jharkhand",1,Home & Kitchen,0
S35,U302,1,Wednesday,Evening,109,7,5,1,24,16170,0,186,0,Tablet,Firefox,Direct,"Lucknow, Uttar Pradesh",0,Books,0
S36,U143,1,Friday,Night,78,8,4,0,53,14207,1,268,0,Tablet,Firefox,Social Media,"Pune, Maharashtra",0,Books,1
S37,U415,0,Friday,Morning,785,6,1,1,95,3627,0,161,0,Desktop,Opera,Social Media,"Ranchi, Jharkhand",1,Electronics,0
S38,U446,0,Wednesday,Night,2304,1,3,1,18,5167,0,236,0,Tablet,Firefox,Search Engine,"Jaipur, Rajasthan",1,Toys,1
S39,U4,1,Thursday,Morning,1533,4,9,0,43,23321,0,183,0,Desktop,Firefox,Search Engine,"Pune, Maharashtra",0,Sports,0
S40,U389,0,Sunday,Morning,2666,14,4,1,82,9874,0,0,1,Mobile,Chrome,Search Engine,"Amritsar, Punjab",1,Books,0
S41,U413,0,Friday,Night,511,17,9,1,24,18872,1,111,0,Tablet,Edge,Direct,"Mangalore, Karnataka",1,Home & Kitchen,0
S42,U82,0,Tuesday,Afternoon,2396,18,3,0,71,8449,0,0,1,Tablet,Chrome,Ads,"Ranchi, Jharkhand",1,Home & Kitchen,0
S43,U358,0,Friday,Morning,1224,11,1,0,54,4464,0,126,0,Mobile,Safari,Search Engine,"Kolkata, West Bengal",0,Home & Kitchen,0
