session_id,user_id,return_user,day_of_week,time_of_day,session_duration,num_pages_viewed,num_items_carted,has_viewed_shipping_info,scroll_depth,cart_value,discount_applied,shipping_fee,free_shipping_eligible,device_type,browser,referral_source,location,if_payment_page_reached,most_viewed_category,abandoned,engagement_intensity,scroll_engagement,is_weekend,has_multiple_items,has_high_engagement,research_behavior,quick_browse,engagement_score,peak_hours,returning_peak,day_sin,day_cos,time_sin,time_cos,pca1,pca2
S1,U328,0,0,0,-0.8618906141981747,-1.6544801050223488,5,0,-0.6483925003852145,0.4083240527563587,0,5.552959584921617,0,0,0,0,0,1,0,1,0.0,-0.6483925003852145,1,1,0,0,1,-0.5195530410533085,0,0,0.0,1.0,0.0,1.0,1.792925807983572,-0.6985271650401843
S2,U58,1,1,1,-1.4200585517606883,-1.6544801050223488,6,0,-0.917876984088769,0.5776440825557964,0,4.919980925828125,0,1,1,1,1,0,1,0,0.0,-0.917876984088769,0,1,0,0,1,-0.5671099016966094,1,1,0.7818314824680298,0.6234898018587336,1.0,6.123233995736766e-17,2.0748020060214802,-0.7577523234088275
S3,U13,1,2,2,-0.903998020014294,-1.10647771487068,9,1,1.468985585857,0.5420982764053438,0,0.0,1,1,2,2,2,0,2,0,0.0,1.468985585857,0,1,0,0,1,0.2882961684805274,1,1,0.9749279121818236,-0.22252093395631434,1.2246467991473532e-16,-1.0,1.1954371787570601,1.6567813853290785
S4,U380,0,3,3,0.7871529066005497,-1.10647771487068,8,0,0.9300166184498908,0.5945982691011938,0,0.0,1,2,0,1,3,1,3,0,-0.6191287330726375,0.9300166184498908,1,1,0,0,1,-0.10681755280607436,0,0,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,1.0242887036165185,-0.47336677795407617
S5,U141,0,0,0,1.483393965560106,1.450866772503773,1,0,0.5835365679738922,0.0406600193441331,1,4.624972813284271,0,2,3,3,4,1,3,0,0.5842273890588856,0.4021985884802353,1,0,1,0,1,0.45824933298464393,0,0,0.0,1.0,0.0,1.0,-1.6062542714487107,-0.07112811184498499
S6,U126,0,3,0,-1.3593455480258183,0.1721945288165463,7,1,-0.1094235329781053,0.6553159029423591,0,5.58724865840025,0,0,3,3,5,1,4,1,0.0,-0.1094235329781053,1,1,1,0,1,0.32285455230724613,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,0.08463641495712028,1.0744864389510012
S7,U115,0,4,3,-1.2849231563508166,-1.6544801050223488,6,1,0.1215631673392271,0.4572596211592525,1,4.248495242049359,0,1,4,1,6,0,5,0,0.0,0.1215631673392271,0,1,0,0,1,-0.08367629635816304,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1.3627541613087697,1.1003268126618622
S8,U72,1,0,3,1.2728569364795088,-0.0104729345673431,3,0,-0.6483925003852145,0.1838209608884555,1,5.236441962829949,0,0,3,0,7,0,5,0,-0.004607828323574522,-0.6483925003852145,1,1,0,0,1,-0.11698855618675091,0,0,0.0,1.0,-1.0,-1.8369701987210297e-16,-0.587863213951319,-1.1652494704818146
S9,U378,1,4,3,-1.1439123089666026,-0.1931403979512326,1,0,1.353492235698334,-0.3515945900530497,0,0.0,1,2,4,2,8,0,3,0,0.0,1.353492235698334,0,0,0,0,1,0.19156159281323198,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1.078972578132974,1.2911984024581784
S10,U53,1,0,2,1.456954431675566,-1.10647771487068,7,0,-0.5713969336127703,0.5249190311196644,1,0.0,1,0,3,1,9,1,6,0,-0.4503452325390084,-0.5713969336127703,1,1,0,0,1,-0.37177720496160793,1,1,0.0,1.0,1.2246467991473532e-16,-1.0,0.32962236847038334,-1.6629891281594544
S11,U347,0,2,1,-0.5181766736991531,-0.7411427881029011,4,0,0.2755543008841155,0.4072575658593378,0,0.0,1,1,1,0,1,0,5,0,0.0,0.2755543008841155,0,1,0,0,1,-0.1328540113821575,1,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,1.0917468565598212,-0.014268515453498744
S12,U380,1,5,0,-1.2369402985603548,1.085531845735994,5,0,-0.4559035834541041,0.2244876555188856,0,5.545177444479562,0,2,0,1,10,0,5,1,0.0,-0.4199817676882617,0,1,1,0,1,0.18535695323140705,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,0.04219961790431559,-0.13263896933817804
S13,U457,1,5,1,-1.2721930104064083,-1.4718126416384592,6,0,-0.3019124499092157,0.3962156716348869,0,0.0,1,2,1,0,9,0,1,0,0.0,-0.3019124499092157,0,1,0,0,1,-0.41367911873309765,1,1,-0.9749279121818236,-0.2225209339563146,1.0,6.123233995736766e-17,1.9909577527586637,-0.3759450820799947
S14,U280,0,4,3,1.403096121910762,1.450866772503773,9,1,0.4295454344290038,0.6622759489623194,0,4.30406509320417,0,1,1,0,11,0,5,0,0.6037489550564262,0.29606125287970697,0,1,1,0,1,0.7310739840456149,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,-2.0406929691371456,0.3311019152826313
S15,U45,0,4,0,-1.6159069509054298,-0.0104729345673431,0,0,-1.6108370850407665,-2.8048422010665983,0,5.293304824724492,0,0,4,0,1,0,7,1,0.0,-1.6108370850407665,0,0,0,0,1,-0.2868344870556827,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.5415473228996347,-0.43528769763085845
S16,U303,0,3,0,-0.7120665888524473,1.268199309119883,7,0,-1.6878326518132107,0.5160199221587762,0,0.0,1,1,0,2,12,1,5,0,0.0,-1.3308891115739123,1,1,1,0,1,0.012683548926569477,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,-0.5036178217270959,-1.3359050301279978
S17,U217,0,6,1,1.4050546059022095,0.5375294555843254,3,0,-1.30285481795099,0.166729249385514,0,0.0,1,0,0,1,7,0,1,0,0.2234998965367282,-1.30285481795099,0,1,1,0,1,-0.09829562755543877,1,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,-1.1830596867698742,-1.6037537385626082
S18,U17,0,0,1,0.6030554114044926,1.450866772503773,8,0,-0.417405800067882,0.6141303102391209,0,0.0,1,1,3,1,13,1,7,0,0.9050633946786768,-0.2876940929231988,1,1,1,0,1,0.28160956488095484,1,0,0.0,1.0,1.0,6.123233995736766e-17,-1.001272640234916,-1.0489573036525868
S19,U16,0,0,0,0.1584795453459291,0.5375294555843254,0,0,0.9300166184498908,-2.8048422010665983,0,5.147494476813453,0,1,4,1,14,1,2,1,0.4639956378546294,0.9300166184498908,1,0,1,0,1,0.29574693206048297,0,0,0.0,1.0,0.0,1.0,-0.25050702329166424,0.6692602661690633
S20,U48,0,0,2,1.5587955992308318,1.268199309119883,1,0,1.007012185222335,-0.4808629423658719,0,4.934473933130692,0,1,0,2,0,1,7,0,0.4956235306568062,0.7940488359997537,1,0,1,0,1,0.48825215535957855,1,0,0.0,1.0,1.2246467991473532e-16,-1.0,-1.4276279047348674,0.16881910004037673
S21,U112,1,0,3,-1.5894674170208898,-0.9238102514867906,5,1,-0.9563747674749912,0.2866314397816756,0,5.37989735354046,0,1,0,0,10,1,1,1,0.0,-0.9563747674749912,1,1,0,0,1,-0.0949861901017855,0,0,0.0,1.0,-1.0,-1.8369701987210297e-16,0.7225792688322707,0.6518692036837052
S22,U120,0,6,1,-0.3311414525159249,0.1721945288165463,9,0,0.5835365679738922,0.6834009989811447,1,5.19295685089021,0,0,1,1,2,1,8,0,0.0,0.5835365679738922,0,1,1,0,1,0.145143622532877,1,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.6523463952871685,-0.23373260367494642
S23,U259,0,3,0,1.1622025909627298,-0.5584753247190116,0,0,-0.417405800067882,-2.8048422010665983,0,5.081404364984463,0,0,2,1,15,0,2,1,-0.2582900080932509,-0.417405800067882,1,0,0,0,1,-0.2104136944003931,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,-0.2414945278317551,-0.7510649654115323
S24,U309,0,4,1,1.376656588026222,-0.0104729345673431,3,0,0.083065383953005,0.1154865835106524,1,4.875197323201151,0,2,0,2,0,1,8,0,-0.0044065830209154095,0.083065383953005,0,1,0,0,1,0.012094351273637224,1,0,-0.433883739117558,-0.9009688679024191,1.0,6.123233995736766e-17,-0.4939330101719281,-0.7071777693806669
S25,U14,0,5,0,-1.2202931846330518,1.268199309119883,7,0,-1.1873614677923237,0.5467399134241656,0,0.0,1,0,2,4,9,0,0,0,0.0,-0.9362577784530887,0,1,1,0,1,0.10100343297841405,0,0,-0.9749279121818236,-0.2225209339563146,0.0,1.0,-0.1434838785389059,-0.799316615216534
S26,U288,1,6,2,0.8361150063867351,0.9028643823521044,9,0,0.968514401836113,0.6040313488546174,0,5.3471075307174685,0,0,1,1,7,0,3,1,0.49172539803421056,0.968514401836113,0,1,1,0,1,0.3919995437100309,1,1,-0.7818314824680299,0.6234898018587334,1.2246467991473532e-16,-1.0,-0.3947761927742604,-0.34389266498010557
S27,U102,0,2,1,0.1810021112475744,1.450866772503773,4,1,-1.1873614677923237,0.3340922992386959,0,5.402677381872279,0,2,0,1,16,0,2,1,1.2285048084893953,-0.8183807709258404,0,1,1,0,1,0.4457328201858094,1,0,0.9749279121818236,-0.22252093395631434,1.0,6.123233995736766e-17,-1.9958907196756739,0.15485305847038797
S28,U367,0,6,0,1.1073650392022023,1.6335342358876623,8,1,-1.5338415182683225,0.5225353035547782,0,4.574710978503383,0,2,2,2,17,0,0,0,0.7751548523866939,-0.9389711489179982,0,1,1,0,1,0.42931767228038914,0,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,-2.4670619107868994,-0.7817341618742616
S29,U333,0,3,1,1.349237812145958,-1.4718126416384592,5,0,1.353492235698334,0.469902301087362,1,5.351858133476067,0,0,2,4,18,0,5,0,-0.6265064498915087,1.353492235698334,1,1,0,0,1,-0.1215441176385349,1,0,0.43388373911755823,-0.900968867902419,1.0,6.123233995736766e-17,0.9336445157216243,-0.16794948102188562
S30,U360,0,6,0,0.3944768663153428,-1.10647771487068,0,0,0.8530210516774467,-2.8048422010665983,0,5.602118820879701,0,0,0,4,1,1,7,1,-0.793471545924136,0.8530210516774467,0,0,0,0,1,-0.12040522727558889,0,0,-0.7818314824680299,0.6234898018587334,0.0,1.0,0.8020608829704354,0.35171567598687375
S31,U280,1,6,3,-0.8569944042195562,-1.2891451782545698,5,1,-0.917876984088769,0.4174711968505433,0,0.0,1,0,2,4,14,1,3,0,0.0,-0.917876984088769,0,1,0,0,1,-0.1776511272818188,0,0,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.6203119294985056,0.35716833813313364
S32,U215,0,3,0,1.339445392188721,-0.5584753247190116,5,0,-0.5328991502265482,0.3509608756876632,0,5.393627546352362,0,2,0,1,19,1,7,1,-0.23872124845646317,-0.5328991502265482,1,1,0,0,1,-0.23079520610466492,0,0,0.43388373911755823,-0.900968867902419,0.0,1.0,-0.1006476309852907,-1.3518823021057313
S33,U113,0,1,0,1.3139851002999046,1.450866772503773,5,0,-0.917876984088769,0.2563517064816197,0,5.484796933490655,0,0,3,0,20,0,3,1,0.6269991852219502,-0.6326404336249158,0,1,1,0,1,0.19328968082911033,0,0,0.7818314824680298,0.6234898018587336,0.0,1.0,-1.6176909907363042,-1.391309774117698
S34,U230,1,2,0,-0.4124185381609926,-0.0104729345673431,7,0,-0.7253880671576587,0.5464117015156889,1,4.77912349311153,0,0,4,0,12,1,2,0,0.0,-0.7253880671576587,0,1,0,0,1,-0.13057623065626547,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.46113205755691483,-0.931489128488617
S35,U302,1,4,0,-1.6775991966360235,-0.5584753247190116,5,1,-1.1873614677923237,0.4808974567607406,0,5.231108616854587,0,2,4,2,17,0,4,0,0.0,-1.1873614677923237,0,1,0,0,1,-0.04629043909553854,0,0,-0.433883739117558,-0.9009688679024191,0.0,1.0,0.4570616216630463,0.5672506496894371
S36,U143,1,5,3,-1.7079556985034583,-0.3758078613351222,4,0,-0.0709257495918832,0.437019333043062,1,5.594711379601839,0,2,4,3,21,0,4,1,0.0,-0.0709257495918832,0,1,0,0,1,-0.1045397720801824,0,0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,1.365722214476068,0.2469111319555534
S37,U415,0,5,2,-1.0156316075267968,-0.7411427881029011,1,1,1.5459811526294442,-0.0258279060962128,0,5.087596335232384,0,1,0,3,12,1,0,0,0.0,1.5459811526294442,0,0,0,0,1,0.39134261736483245,1,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.59646760123985,2.517149408383423
S38,U446,0,4,3,0.4718369839775157,-1.6544801050223488,3,1,-1.418348168109656,0.0941299545184496,0,5.468060141135132,0,2,4,0,22,1,6,1,-1.1240919497424608,-1.418348168109656,0,1,0,0,1,-0.3554297857484539,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.003328575566977648,-0.3527347429800511
S39,U4,1,1,2,-0.2831585947254632,-1.10647771487068,9,0,-0.4559035834541041,0.6050505279554292,0,5.214935757608986,0,1,4,0,21,0,7,0,0.0,-0.4559035834541041,0,1,0,0,1,-0.3513956932573361,1,1,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,1.3434657557803151,-1.0954765681870047
S40,U389,0,3,2,0.8263225864294981,0.7201969189682149,4,1,1.0455099686085572,0.3136727742043492,0,0.0,1,0,2,0,23,1,4,0,0.39434266668968715,1.0455099686085572,1,1,1,0,1,0.6608578309721501,1,0,0.43388373911755823,-0.900968867902419,1.2246467991473532e-16,-1.0,-1.348668295344045,1.349210748525364
S41,U413,0,5,3,-1.2839439143550928,1.268199309119883,9,1,-1.1873614677923237,0.5332852602155559,1,4.718498871295094,0,2,3,2,24,1,2,0,0.0,-0.9362577784530887,0,1,1,0,1,0.401003432978414,0,0,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,-0.8609858790892672,0.24602082920512033
S42,U82,0,6,1,0.5619272475840968,1.450866772503773,3,0,0.6220343513601142,0.2608350308271788,0,0.0,1,2,2,1,12,1,2,0,0.9288952316747747,0.42873292238036737,0,1,1,0,1,0.46504317021940117,1,0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,-1.0260243770123172,0.12855080593593207
S43,U358,0,5,2,-0.585744371404089,0.1721945288165463,1,0,-0.0324279662056611,0.0445550114121642,0,4.844187086458591,0,0,1,0,25,0,2,0,0.0,-0.0324279662056611,0,0,1,0,1,0.03644222677676068,1,0,-0.9749279121818236,-0.2225209339563146,1.2246467991473532e-16,-1.0,0.2513161542633056,0.1711593419148192
S44,U217,1,2,3,-0.6415611651603403,0.7201969189682149,6,0,1.468985585857,0.5037594228015753,1,5.049856007249537,0,0,2,1,11,0,4,0,0.0,1.468985585857,0,1,1,0,1,0.43559004055448003,0,0,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0.43984549526568867,0.8191809103858997
S45,U175,0,2,0,0.6618099311479151,-0.1931403979512326,9,0,1.007012185222335,0.6107019978928004,0,0.0,1,2,2,3,26,0,4,0,-0.11622291715263644,1.007012185222335,0,1,0,0,1,0.1304170577004165,0,0,0.9749279121818236,-0.22252093395631434,0.0,1.0,0.4943742275158681,-0.3666512873617989
S46,U143,1,4,3,-1.5160242673416118,0.9028643823521044,9,0,0.4680432178152259,0.5765863956865012,0,4.204692619390966,0,1,3,2,27,0,6,0,0.0,0.4680432178152259,0,1,1,0,1,0.30367965965818633,0,0,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.7060972565890702,0.22155324106736266
S47,U80,0,1,2,-0.2087362030504614,0.3548619922004358,1,0,-1.0333703342474354,-0.281851270649861,0,5.58724865840025,0,1,0,3,28,0,8,1,0.0,-1.0333703342474354,0,0,1,0,1,-0.09546815411953315,1,0,0.7818314824680298,0.6234898018587336,1.2246467991473532e-16,-1.0,-0.27440252987189967,-0.6362990579820207
S48,U111,0,0,1,0.4894633399005424,-0.0104729345673431,0,0,-1.1488636844061015,-2.8048422010665983,0,5.564520407322694,0,0,3,1,0,1,0,1,-0.007031347658440805,-1.1488636844061015,1,0,0,0,1,-0.20530844023859549,1,0,0.0,1.0,1.0,6.123233995736766e-17,-0.4410164904939196,-0.9318729530033008
S49,U491,0,0,1,1.6763046387176763,1.6335342358876623,4,1,1.1225055353810014,0.2684134680111836,0,0.0,1,2,3,2,14,0,5,0,0.6103693175491238,0.6871637647502576,1,1,1,0,1,0.8980924414786409,1,0,0.0,1.0,1.0,6.123233995736766e-17,-2.4276719318289968,1.1709331713487274
